, source airport, destination airport,count
61694,ATL,RSW,915
47295,ATL,IAH,915
47296,ATL,ORD,915
61692,ATL,PNS,915
61693,ATL,RDU,915
61706,ATL,TUL,915
61707,ATL,TUS,915
61696,ATL,SAT,915
61658,ATL,BNA,915
61697,ATL,SAV,915
61698,ATL,SDF,915
61703,ATL,SRQ,915
61690,ATL,PBI,915
61691,ATL,PHX,915
9165,ATL,TPA,915
9166,ATL,TRI,915
9162,ATL,STR,915
9163,ATL,SYR,915
9164,ATL,TLH,915
7815,ATL,DEN,915
7816,ATL,YYZ,915
4703,ATL,PHL,915
4698,ATL,CLT,915
4699,ATL,DFW,915
4700,ATL,LHR,915
4701,ATL,MIA,915
4702,ATL,ORD,915
4704,ATL,PHX,915
16035,ATL,IAH,915
42751,ATL,IAD,915
42752,ATL,ORD,915
32250,ATL,LHR,915
32251,ATL,MIA,915
32252,ATL,ORD,915
12993,ATL,GNV,915
12978,ATL,CHS,915
12985,ATL,DEN,915
12970,ATL,BHM,915
12976,ATL,CDG,915
36397,ATL,LFT,915
36414,ATL,MLI,915
36400,ATL,LIT,915
36401,ATL,MAD,915
36386,ATL,IAD,915
3575,ATL,XNA,915
3566,ATL,GSO,915
3567,ATL,GSP,915
36389,ATL,ILM,915
36406,ATL,MDW,915
36407,ATL,MEM,915
36390,ATL,IND,915
36391,ATL,JAN,915
36381,ATL,GSP,915
36382,ATL,GTR,915
36396,ATL,LEX,915
55802,ATL,DEN,915
55803,ATL,EWR,915
55804,ATL,FRA,915
36385,ATL,HSV,915
36370,ATL,FNT,915
36388,ATL,ICT,915
55801,ATL,CLE,915
55810,ATL,YYZ,915
12971,ATL,BNA,915
12972,ATL,BOS,915
12973,ATL,BUF,915
12974,ATL,BWI,915
12975,ATL,CAE,915
12979,ATL,CLT,915
12980,ATL,CMH,915
12984,ATL,DCA,915
12986,ATL,DFW,915
3573,ATL,SYR,915
3574,ATL,TYS,915
36393,ATL,JFK,915
3565,ATL,FWA,915
36399,ATL,LHR,915
3562,ATL,CRW,915
3563,ATL,CVG,915
3564,ATL,EVV,915
9120,ATL,MSY,915
9137,ATL,PNS,915
9138,ATL,PTY,915
9139,ATL,PVD,915
9124,ATL,NAS,915
3561,ATL,CID,915
3572,ATL,ROA,915
9125,ATL,OAJ,915
9126,ATL,OKC,915
9127,ATL,OMA,915
9174,ATL,YYZ,915
9129,ATL,ORF,915
9130,ATL,PBI,915
9131,ATL,PDX,915
9116,ATL,MLU,915
36371,ATL,FRA,915
3570,ATL,MBS,915
3571,ATL,MSP,915
36380,ATL,GSO,915
36383,ATL,HOU,915
36384,ATL,HPN,915
3568,ATL,LAN,915
9132,ATL,PHF,915
9133,ATL,PHL,915
9134,ATL,PHX,915
9135,ATL,PIA,915
9136,ATL,PIT,915
9171,ATL,VPS,915
9172,ATL,XNA,915
9173,ATL,YUL,915
36405,ATL,MDT,915
36419,ATL,MSY,915
36420,ATL,MTY,915
36421,ATL,MUC,915
9128,ATL,ORD,915
9145,ATL,RSW,915
9146,ATL,SAN,915
9147,ATL,SAT,915
36426,ATL,ORD,915
36378,ATL,GRK,915
36379,ATL,GRR,915
36398,ATL,LGA,915
36430,ATL,PHF,915
36402,ATL,MAN,915
36403,ATL,MCI,915
36404,ATL,MCO,915
36387,ATL,IAH,915
3569,ATL,LEX,915
3559,ATL,AZO,915
3560,ATL,CHA,915
36422,ATL,MYR,915
36423,ATL,OAJ,915
36424,ATL,OKC,915
36425,ATL,OMA,915
9170,ATL,VLD,915
445,ATL,MEI,915
9117,ATL,MOB,915
9118,ATL,MSN,915
9119,ATL,MSP,915
9121,ATL,MTY,915
9122,ATL,MUC,915
9123,ATL,MYR,915
12981,ATL,CUN,915
12982,ATL,CVG,915
12983,ATL,DAY,915
13002,ATL,IND,915
13003,ATL,JAN,915
13020,ATL,OMA,915
22850,ATL,ORD,915
13016,ATL,MSY,915
13017,ATL,MTY,915
13013,ATL,MIA,915
13004,ATL,JAX,915
12987,ATL,DTW,915
12988,ATL,ELP,915
12989,ATL,EWR,915
13014,ATL,MKE,915
13015,ATL,MSP,915
12990,ATL,FCO,915
12991,ATL,FLL,915
12992,ATL,GDL,915
13005,ATL,JFK,915
13035,ATL,SAV,915
13042,ATL,TPA,915
12997,ATL,HSV,915
12998,ATL,IAD,915
13012,ATL,MEX,915
12999,ATL,IAH,915
13000,ATL,ICT,915
13039,ATL,SNA,915
13040,ATL,SRQ,915
13021,ATL,ORD,915
13006,ATL,LAS,915
12969,ATL,BDL,915
13026,ATL,PHX,915
13007,ATL,LAX,915
13008,ATL,LIT,915
13009,ATL,MCI,915
12994,ATL,GPT,915
12995,ATL,GSO,915
36435,ATL,PNS,915
36436,ATL,PVD,915
36437,ATL,PWM,915
36438,ATL,RDU,915
36439,ATL,RIC,915
36417,ATL,MSN,915
36441,ATL,ROC,915
36442,ATL,RSW,915
36428,ATL,PBI,915
36429,ATL,PDX,915
36410,ATL,MHT,915
36408,ATL,MEX,915
36409,ATL,MGM,915
36433,ATL,PIA,915
36434,ATL,PIT,915
448,ATL,TUP,915
443,ATL,LWB,915
444,ATL,MCN,915
36394,ATL,LAS,915
36415,ATL,MLU,915
36416,ATL,MOB,915
36427,ATL,ORF,915
447,ATL,PIB,915
446,ATL,MSL,915
36440,ATL,ROA,915
36411,ATL,MIA,915
36412,ATL,MKE,915
36413,ATL,MLB,915
9092,ATL,JAN,915
9093,ATL,JAX,915
36418,ATL,MSP,915
58605,ATL,ORD,915
36443,ATL,SAN,915
36444,ATL,SAT,915
36445,ATL,SAV,915
58603,ATL,DFW,915
58604,ATL,MIA,915
36432,ATL,PHX,915
9106,ATL,MDT,915
9107,ATL,MDW,915
13037,ATL,SJU,915
13038,ATL,SLC,915
13022,ATL,ORF,915
13023,ATL,PBI,915
13025,ATL,PHL,915
13010,ATL,MCO,915
13011,ATL,MEM,915
12977,ATL,CHA,915
12966,ATL,ABQ,915
13018,ATL,MYR,915
13019,ATL,OKC,915
13036,ATL,SEA,915
13024,ATL,PDX,915
9099,ATL,LGA,915
9084,ATL,GTR,915
9085,ATL,HPN,915
36431,ATL,PHL,915
9091,ATL,IND,915
9140,ATL,PWM,915
9141,ATL,RDU,915
9094,ATL,JFK,915
9095,ATL,LAS,915
9096,ATL,LAX,915
9113,ATL,MKE,915
9098,ATL,LFT,915
9143,ATL,ROA,915
9144,ATL,ROC,915
9097,ATL,LEX,915
9086,ATL,HSV,915
9087,ATL,IAD,915
9088,ATL,IAH,915
9105,ATL,MCO,915
9090,ATL,ILM,915
9089,ATL,ICT,915
9142,ATL,RIC,915
63444,ATL,CHS,915
63445,ATL,CMH,915
63459,ATL,MCI,915
63460,ATL,MCO,915
63446,ATL,CUN,915
63447,ATL,DAY,915
63465,ATL,NAS,915
63439,ATL,AUS,915
63440,ATL,BDL,915
63441,ATL,BOS,915
63456,ATL,LAX,915
63457,ATL,LGA,915
63442,ATL,BWI,915
13027,ATL,PIT,915
13044,ATL,TYS,915
13045,ATL,VPS,915
13034,ATL,SAT,915
12967,ATL,AUS,915
12968,ATL,AVL,915
13043,ATL,TUS,915
63464,ATL,MSY,915
9115,ATL,MLI,915
9100,ATL,LHR,915
9101,ATL,LIT,915
9102,ATL,MAD,915
9103,ATL,MAN,915
9104,ATL,MCI,915
9114,ATL,MLB,915
9068,ATL,EYW,915
24319,ATL,TTN,915
36449,ATL,SFO,915
58606,ATL,PHL,915
58607,ATL,PHX,915
36451,ATL,SHV,915
36452,ATL,SJC,915
36467,ATL,TUS,915
36468,ATL,TYS,915
36466,ATL,TUL,915
36463,ATL,TLH,915
36464,ATL,TPA,915
36465,ATL,TRI,915
58602,ATL,CLT,915
24318,ATL,DEN,915
9062,ATL,DUS,915
9063,ATL,ECP,915
9064,ATL,ELP,915
9081,ATL,GRR,915
9082,ATL,GSO,915
9083,ATL,GSP,915
9053,ATL,DAL,915
9054,ATL,DAY,915
9055,ATL,DCA,915
9056,ATL,DEN,915
9073,ATL,FRA,915
9074,ATL,FSM,915
9075,ATL,FWA,915
9061,ATL,DUB,915
12996,ATL,HOU,915
13041,ATL,STL,915
63443,ATL,CAK,915
63480,ATL,SJU,915
63448,ATL,DCA,915
63449,ATL,DEN,915
63438,ATL,AUA,915
13001,ATL,ILM,915
63469,ATL,PHL,915
63470,ATL,PHX,915
63454,ATL,JAX,915
63455,ATL,LAS,915
63471,ATL,PIT,915
63476,ATL,SAN,915
63461,ATL,MDW,915
63462,ATL,MKE,915
63463,ATL,MSP,915
9052,ATL,DAB,915
9057,ATL,DFW,915
9058,ATL,DHN,915
9059,ATL,DSM,915
9060,ATL,DTW,915
9109,ATL,MEX,915
9110,ATL,MGM,915
9111,ATL,MHT,915
9108,ATL,MEM,915
20258,ATL,UIO,915
20259,ATL,UVF,915
20260,ATL,VLD,915
20261,ATL,VPS,915
20264,ATL,YYZ,915
20265,ATL,ZRH,915
20226,ATL,SAN,915
36471,ATL,XNA,915
36455,ATL,SLC,915
9069,ATL,FAY,915
9070,ATL,FCO,915
9071,ATL,FLL,915
9072,ATL,FNT,915
36453,ATL,SJD,915
36447,ATL,SDF,915
36448,ATL,SEA,915
36469,ATL,VLD,915
36470,ATL,VPS,915
63450,ATL,DTW,915
63451,ATL,FLL,915
63452,ATL,HOU,915
63453,ATL,IND,915
14420,ATL,ORD,915
14417,ATL,DFW,915
43889,ATL,SFO,915
10890,ATL,SEA,915
10863,ATL,CVG,915
10864,ATL,CZM,915
10865,ATL,DCA,915
10853,ATL,ABY,915
63477,ATL,SAT,915
63478,ATL,SDF,915
63479,ATL,SFO,915
10892,ATL,SLC,915
10893,ATL,STL,915
10894,ATL,XNA,915
10854,ATL,ALB,915
10855,ATL,BDL,915
10882,ATL,MSP,915
10883,ATL,MSY,915
10884,ATL,MTY,915
36377,ATL,GRB,915
36362,ATL,ELP,915
36363,ATL,EVV,915
36332,ATL,BTV,915
36364,ATL,EWN,915
36365,ATL,EWR,915
36335,ATL,CAE,915
36352,ATL,DAY,915
36368,ATL,FCO,915
36369,ATL,FLL,915
36354,ATL,DEN,915
36355,ATL,DFW,915
36456,ATL,SMF,915
36457,ATL,SNA,915
36375,ATL,GNV,915
36376,ATL,GPT,915
20231,ATL,SCL,915
36461,ATL,STT,915
36462,ATL,SYR,915
36450,ATL,SGF,915
36454,ATL,SJU,915
36446,ATL,SBN,915
36367,ATL,FAY,915
9112,ATL,MIA,915
9065,ATL,EVV,915
9066,ATL,EWN,915
9067,ATL,EWR,915
20227,ATL,SAP,915
20228,ATL,SAT,915
20229,ATL,SAV,915
20230,ATL,SBN,915
36333,ATL,BUF,915
36334,ATL,BWI,915
36458,ATL,SRQ,915
36459,ATL,STL,915
36460,ATL,STR,915
43336,ATL,DFW,915
35836,ATL,ICN,915
20249,ATL,SXM,915
20250,ATL,SYR,915
36342,ATL,CLT,915
36343,ATL,CMH,915
20248,ATL,STT,915
20255,ATL,TUL,915
20240,ATL,SJO,915
20241,ATL,SJU,915
20242,ATL,SLC,915
20199,ATL,OAJ,915
20262,ATL,XNA,915
20263,ATL,YUL,915
36353,ATL,DCA,915
36338,ATL,CHO,915
36340,ATL,CID,915
36341,ATL,CLE,915
36372,ATL,FSM,915
36373,ATL,FWA,915
20256,ATL,TUS,915
20257,ATL,TYS,915
20247,ATL,STR,915
20232,ATL,SDF,915
20233,ATL,SDQ,915
20234,ATL,SEA,915
20251,ATL,TGU,915
20218,ATL,PWM,915
20219,ATL,RDU,915
20220,ATL,RIC,915
20254,ATL,TRI,915
20238,ATL,SJC,915
20239,ATL,SJD,915
20243,ATL,SMF,915
20200,ATL,OKC,915
20201,ATL,OMA,915
20202,ATL,ORD,915
20235,ATL,SFO,915
20236,ATL,SGF,915
20237,ATL,SHV,915
20244,ATL,SNA,915
20245,ATL,SRQ,915
20246,ATL,STL,915
20252,ATL,TLH,915
20253,ATL,TPA,915
35837,ATL,JFK,915
43337,ATL,FLL,915
35838,ATL,SCL,915
24864,ATL,CUN,915
24865,ATL,DAY,915
35835,ATL,GIG,915
20186,ATL,MKE,915
20187,ATL,MLB,915
20188,ATL,MLI,915
20173,ATL,MAN,915
36328,ATL,BOS,915
36329,ATL,BQK,915
20198,ATL,NRT,915
36336,ATL,CAK,915
36337,ATL,CHA,915
36322,ATL,AVL,915
36339,ATL,CHS,915
36323,ATL,AVP,915
36331,ATL,BTR,915
20221,ATL,ROA,915
20222,ATL,ROC,915
20223,ATL,RSW,915
20224,ATL,RTB,915
20225,ATL,SAL,915
20203,ATL,ORF,915
20204,ATL,PAP,915
20197,ATL,NAS,915
20217,ATL,PVR,915
20185,ATL,MIA,915
20194,ATL,MTY,915
20195,ATL,MUC,915
20196,ATL,MYR,915
20213,ATL,PNS,915
20214,ATL,PTY,915
20215,ATL,PUJ,915
20216,ATL,PVD,915
20174,ATL,MBJ,915
20175,ATL,MBS,915
20176,ATL,MCI,915
20177,ATL,MCO,915
20181,ATL,MEX,915
20182,ATL,MGA,915
20183,ATL,MGM,915
20184,ATL,MHT,915
63467,ATL,ORF,915
63468,ATL,PBI,915
10856,ATL,BNA,915
10857,ATL,BOS,915
10891,ATL,SJD,915
63472,ATL,PUJ,915
63473,ATL,RDU,915
63458,ATL,MBJ,915
63482,ATL,TPA,915
63474,ATL,RIC,915
63475,ATL,RSW,915
13028,ATL,PTY,915
10895,ATL,YUL,915
13029,ATL,RDU,915
63481,ATL,STL,915
63466,ATL,OKC,915
40497,ATL,ORD,915
10885,ATL,PHL,915
10886,ATL,PIT,915
10887,ATL,PVR,915
10888,ATL,RDU,915
36330,ATL,BRU,915
20162,ATL,LAS,915
20171,ATL,LOS,915
20172,ATL,MAD,915
20178,ATL,MDT,915
20179,ATL,MDW,915
20180,ATL,MEM,915
10874,ATL,JFK,915
10889,ATL,RIC,915
14418,ATL,LHR,915
14419,ATL,MIA,915
10878,ATL,MCO,915
10875,ATL,LGA,915
10868,ATL,EWR,915
13033,ATL,SAN,915
10876,ATL,MAD,915
10877,ATL,MCI,915
10869,ATL,FCO,915
10870,ATL,GDL,915
10880,ATL,MEX,915
10881,ATL,MIA,915
10866,ATL,DEN,915
10871,ATL,IAD,915
10872,ATL,IND,915
52259,ATL,YYZ,915
10873,ATL,JAX,915
10858,ATL,BWI,915
10860,ATL,CLE,915
10861,ATL,CMH,915
10862,ATL,CUN,915
10879,ATL,MEM,915
10859,ATL,CDG,915
10867,ATL,DTW,915
13031,ATL,ROC,915
13032,ATL,RSW,915
13030,ATL,RIC,915
9018,ATL,AEX,915
9019,ATL,AGS,915
9020,ATL,ALB,915
9041,ATL,CHS,915
9042,ATL,CID,915
9043,ATL,CLE,915
9028,ATL,BNA,915
9029,ATL,BOS,915
9080,ATL,GRK,915
9033,ATL,BTV,915
9034,ATL,BUF,915
9035,ATL,BWI,915
9016,ATL,ABQ,915
9017,ATL,ABY,915
36344,ATL,COS,915
36345,ATL,CRW,915
36324,ATL,BDL,915
36325,ATL,BHM,915
36326,ATL,BMI,915
36327,ATL,BNA,915
20141,ATL,GRU,915
20142,ATL,GSO,915
20143,ATL,GSP,915
20144,ATL,GTR,915
20147,ATL,HOU,915
20163,ATL,LAX,915
20164,ATL,LEX,915
20132,ATL,GCM,915
20133,ATL,GDL,915
20134,ATL,GGT,915
20135,ATL,GIG,915
20136,ATL,GNV,915
20139,ATL,GRK,915
20140,ATL,GRR,915
20206,ATL,PDX,915
20207,ATL,PHF,915
20208,ATL,PHL,915
20209,ATL,PHX,915
20210,ATL,PIA,915
20211,ATL,PIT,915
20212,ATL,PLS,915
20131,ATL,FWA,915
9030,ATL,BQK,915
9031,ATL,BRU,915
20189,ATL,MLU,915
20190,ATL,MOB,915
20191,ATL,MSN,915
20192,ATL,MSP,915
20193,ATL,MSY,915
20205,ATL,PBI,915
12589,ATL,LHR,915
24039,ATL,ORD,915
24881,ATL,MSP,915
24868,ATL,DTW,915
9037,ATL,CAK,915
9038,ATL,CDG,915
9039,ATL,CHA,915
9040,ATL,CHO,915
20130,ATL,FSM,915
9032,ATL,BTR,915
20156,ATL,JAN,915
20099,ATL,CSG,915
20100,ATL,CUN,915
20101,ATL,CVG,915
9049,ATL,CUN,915
9050,ATL,CVG,915
9051,ATL,CZM,915
9036,ATL,CAE,915
9027,ATL,BMI,915
9076,ATL,GDL,915
9077,ATL,GNV,915
9078,ATL,GPT,915
9079,ATL,GRB,915
20161,ATL,LAN,915
20153,ATL,ICT,915
20154,ATL,ILM,915
20165,ATL,LFT,915
20166,ATL,LGA,915
20167,ATL,LHR,915
20168,ATL,LIM,915
20169,ATL,LIR,915
20170,ATL,LIT,915
9021,ATL,ATW,915
9026,ATL,BHM,915
36315,ATL,ABY,915
36316,ATL,AEX,915
36317,ATL,AGS,915
36314,ATL,ABQ,915
20158,ATL,JFK,915
20159,ATL,JNB,915
20160,ATL,KIN,915
20145,ATL,GUA,915
20146,ATL,HNL,915
20148,ATL,HPN,915
36318,ATL,ALB,915
24860,ATL,BOS,915
20149,ATL,HSV,915
20150,ATL,IAD,915
20151,ATL,IAH,915
20152,ATL,ICN,915
20137,ATL,GPT,915
20138,ATL,GRB,915
20155,ATL,IND,915
20157,ATL,JAX,915
24880,ATL,MKE,915
24866,ATL,DCA,915
24867,ATL,DEN,915
9024,ATL,AVP,915
9025,ATL,BDL,915
9015,ATL,ABE,915
20093,ATL,CID,915
11557,ATL,CHS,915
11563,ATL,LAX,915
9022,ATL,AUS,915
9023,ATL,AVL,915
11567,ATL,ORF,915
11570,ATL,PNS,915
11571,ATL,RDU,915
11572,ATL,RSW,915
11556,ATL,BNA,915
11573,ATL,SAN,915
20092,ATL,CHS,915
11555,ATL,BHM,915
11574,ATL,SAV,915
11575,ATL,SEA,915
11560,ATL,HSV,915
11576,ATL,SLC,915
11577,ATL,TYS,915
11562,ATL,JAX,915
11564,ATL,MEM,915
20058,ATL,ABY,915
20061,ATL,ALB,915
20062,ATL,AMS,915
11565,ATL,MIA,915
11566,ATL,MSY,915
11561,ATL,JAN,915
11568,ATL,PBI,915
11569,ATL,PDX,915
20063,ATL,ATW,915
20064,ATL,AUA,915
20065,ATL,AUS,915
20056,ATL,ABE,915
20070,ATL,BDL,915
20071,ATL,BHM,915
20072,ATL,BJX,915
20069,ATL,BDA,915
24861,ATL,BWI,915
24857,ATL,AUA,915
24858,ATL,AUS,915
24859,ATL,BDL,915
20098,ATL,CRW,915
20127,ATL,FPO,915
20128,ATL,FRA,915
20129,ATL,FSD,915
20117,ATL,EVV,915
24873,ATL,LAS,915
20115,ATL,ECP,915
20116,ATL,ELP,915
20102,ATL,CZM,915
20103,ATL,DAB,915
20118,ATL,EWN,915
20123,ATL,FAY,915
20124,ATL,FCO,915
20106,ATL,DCA,915
20075,ATL,BOG,915
20077,ATL,BOS,915
20078,ATL,BQK,915
20079,ATL,BRU,915
20080,ATL,BSB,915
20068,ATL,AZO,915
24870,ATL,HOU,915
20066,ATL,AVL,915
20067,ATL,AVP,915
64571,ATL,YYZ,915
64569,ATL,JFK,915
20074,ATL,BNA,915
24862,ATL,CAK,915
24863,ATL,CMH,915
24871,ATL,IND,915
24872,ATL,JAX,915
20110,ATL,DSM,915
20097,ATL,COS,915
20089,ATL,CDG,915
20090,ATL,CHA,915
20091,ATL,CHO,915
20084,ATL,BWI,915
20119,ATL,EWR,915
20125,ATL,FLL,915
20121,ATL,EZE,915
20122,ATL,FAR,915
20107,ATL,DEN,915
20108,ATL,DFW,915
20109,ATL,DHN,915
20076,ATL,BON,915
20111,ATL,DTW,915
64570,ATL,LGA,915
20112,ATL,DUB,915
20113,ATL,DUS,915
20114,ATL,DXB,915
20081,ATL,BTR,915
20082,ATL,BTV,915
20083,ATL,BUF,915
20120,ATL,EYW,915
20085,ATL,BZE,915
20086,ATL,CAE,915
20087,ATL,CAK,915
20088,ATL,CCS,915
20073,ATL,BMI,915
20104,ATL,DAL,915
20105,ATL,DAY,915
20060,ATL,AGS,915
9044,ATL,CLT,915
9045,ATL,CMH,915
9046,ATL,COS,915
9047,ATL,CRW,915
9048,ATL,CSG,915
20094,ATL,CLE,915
20095,ATL,CLT,915
24893,ATL,RSW,915
24877,ATL,MCI,915
24894,ATL,SAN,915
20096,ATL,CMH,915
20059,ATL,AEX,915
24885,ATL,ORF,915
24898,ATL,SJU,915
24884,ATL,OKC,915
24869,ATL,FLL,915
24886,ATL,PBI,915
24890,ATL,PUJ,915
24891,ATL,RDU,915
24892,ATL,RIC,915
24876,ATL,MBJ,915
24878,ATL,MCO,915
24896,ATL,SDF,915
24897,ATL,SFO,915
24882,ATL,MSY,915
24883,ATL,NAS,915
36321,ATL,AUS,915
24887,ATL,PHL,915
24899,ATL,STL,915
24900,ATL,TPA,915
24874,ATL,LAX,915
24875,ATL,LGA,915
36319,ATL,AMS,915
36320,ATL,ATW,915
24879,ATL,MDW,915
24895,ATL,SAT,915
36313,ATL,ABE,915
24888,ATL,PHX,915
24889,ATL,PIT,915
20126,ATL,FNT,915
20057,ATL,ABQ,915
11558,ATL,CLT,915
11559,ATL,GSO,915
55805,ATL,IAD,915
55806,ATL,IAH,915
8007,ORD,YUL,558
8012,ORD,YYZ,558
8002,ORD,YEG,558
6334,ORD,STL,558
6335,ORD,SUX,558
8008,ORD,YVR,558
8009,ORD,YWG,558
6303,ORD,MSY,558
6304,ORD,NRT,558
6289,ORD,MAN,558
6274,ORD,HPN,558
6275,ORD,HSV,558
12846,ORD,MAD,558
8011,ORD,YYC,558
8006,ORD,YQR,558
6284,ORD,LGA,558
6269,ORD,FSD,558
6286,ORD,LIT,558
11802,ORD,MSY,558
11803,ORD,PDX,558
6336,ORD,SYR,558
6337,ORD,TOL,558
6322,ORD,RSW,558
50360,ORD,BRU,558
6276,ORD,IAH,558
6261,ORD,DUS,558
6266,ORD,FCO,558
6295,ORD,MEX,558
6296,ORD,MHK,558
6267,ORD,FLL,558
6268,ORD,FNT,558
57410,ORD,YYZ,558
57411,ORD,ZRH,558
57402,ORD,YQB,558
6287,ORD,LSE,558
6288,ORD,MAD,558
11805,ORD,SEA,558
6317,ORD,RDU,558
57408,ORD,YXU,558
57409,ORD,YYC,558
57374,ORD,SBN,558
57391,ORD,SXM,558
64635,ORD,YUL,558
64636,ORD,YVR,558
57403,ORD,YQR,558
57405,ORD,YVR,558
57406,ORD,YWG,558
57407,ORD,YXE,558
57394,ORD,TUL,558
57371,ORD,SAN,558
57372,ORD,SAT,558
57373,ORD,SAV,558
64637,ORD,YYC,558
64638,ORD,YYZ,558
57395,ORD,TVC,558
6294,ORD,MEM,558
32812,ORD,DUS,558
50050,ORD,CPH,558
50049,ORD,ARN,558
6254,ORD,DCA,558
6255,ORD,DEN,558
6256,ORD,DFW,558
32813,ORD,FCO,558
32814,ORD,LHR,558
32815,ORD,MAD,558
32816,ORD,MAN,558
32817,ORD,MSY,558
6305,ORD,OKC,558
6290,ORD,MBJ,558
6291,ORD,MCI,558
6292,ORD,MCO,558
6277,ORD,ICT,558
6245,ORD,CLT,558
6270,ORD,FWA,558
6271,ORD,GRB,558
6272,ORD,GRR,558
32809,ORD,ATL,558
32810,ORD,CDG,558
32811,ORD,DUB,558
36051,ORD,ICN,558
57381,ORD,SJO,558
57382,ORD,SJU,558
57399,ORD,YEG,558
57384,ORD,SMF,558
57385,ORD,SNA,558
57393,ORD,TPA,558
57378,ORD,SFO,558
57401,ORD,YOW,558
57386,ORD,SPI,558
57387,ORD,SRQ,558
57379,ORD,SGF,558
57380,ORD,SJD,558
57404,ORD,YUL,558
57383,ORD,SLC,558
57370,ORD,RSW,558
57392,ORD,SYR,558
6260,ORD,DUB,558
6240,ORD,CDG,558
6241,ORD,CHA,558
6226,ORD,ABQ,558
6263,ORD,EVV,558
6264,ORD,EWR,558
6257,ORD,DOH,558
6242,ORD,CHO,558
6243,ORD,CID,558
6244,ORD,CLE,558
6236,ORD,BNA,558
6273,ORD,HKG,558
6258,ORD,DSM,558
6259,ORD,DTW,558
6265,ORD,FAR,558
6250,ORD,CVG,558
6251,ORD,CWA,558
6252,ORD,DAY,558
6227,ORD,ALO,558
6285,ORD,LHR,558
6302,ORD,MSP,558
6237,ORD,BOS,558
6238,ORD,BUF,558
6239,ORD,BWI,558
16674,ORD,PVG,558
57388,ORD,STC,558
57389,ORD,STL,558
57390,ORD,STT,558
57398,ORD,XNA,558
57352,ORD,PDX,558
57400,ORD,YHZ,558
36850,ORD,ATL,558
39113,ORD,WAW,558
57340,ORD,MSP,558
57360,ORD,PUJ,558
57361,ORD,PVD,558
57347,ORD,OGG,558
57348,ORD,OKC,558
57396,ORD,TYS,558
57397,ORD,VIE,558
57354,ORD,PHL,558
57338,ORD,MOB,558
57339,ORD,MSN,558
57362,ORD,PVG,558
57365,ORD,RAP,558
57366,ORD,RDU,558
57367,ORD,RIC,558
57317,ORD,JAN,558
57349,ORD,OMA,558
57350,ORD,ORF,558
57351,ORD,PAH,558
57356,ORD,PIA,558
21539,ORD,ICN,558
21540,ORD,JFK,558
21541,ORD,LGA,558
21546,ORD,SLC,558
57359,ORD,PTY,558
57375,ORD,SCE,558
57376,ORD,SDF,558
57307,ORD,GSO,558
57325,ORD,LIT,558
57326,ORD,LNK,558
57343,ORD,MUC,558
57377,ORD,SEA,558
