Country,Year,GDP in Millions
Canada,2013,1540202.433
Canada,2014,1584406.798
Canada,2015,1594850.842
Canada,2016,1610821.589
Canada,2017,1659788.636
Canada,2018,1705881.639
Canada,2019,1738092.499
Canada,2020,1649895.471
Canada,2021,1732584.947
Canada,2022,1791427.035
Czech Republic,1990,228423.939
Czech Republic,1991,201892.63
Czech Republic,1992,200869.958
Czech Republic,1993,200994.305
Czech Republic,1994,206841.852
Czech Republic,1995,220288.255
Czech Republic,1996,229684.467
Czech Republic,1997,228493.941
Czech Republic,1998,227679.208
Czech Republic,1999,230830.627
Czech Republic,2000,240066.227
Czech Republic,2001,247371.386
Czech Republic,2002,251254.758
Czech Republic,2003,260258.946
Czech Republic,2004,272788.491
Czech Republic,2005,290796.944
Czech Republic,2006,310474.978
Czech Republic,2007,327769.486
Czech Republic,2008,336574.724
Czech Republic,2009,320899.325
Czech Republic,2010,328712.91
Czech Republic,2011,334499.439
Czech Republic,2012,331873.604
Czech Republic,2013,331721.262
Czech Republic,2014,339225.138
Czech Republic,2015,357503.881
Czech Republic,2016,366574.771
Czech Republic,2017,385522.011
Czech Republic,2018,397936.159
Czech Republic,2019,409993.142
Czech Republic,2020,387431.35
Czech Republic,2021,401195.709
Czech Republic,2022,411068.812
Denmark,1970,122230.444
Denmark,1971,125903.464
Denmark,1972,130850.696
Denmark,1973,136206.344
Denmark,1974,134677.572
Denmark,1975,132715.798
Denmark,1976,140578.687
Denmark,1977,143207.917
Denmark,1978,146396.167
Denmark,1979,152060.398
Denmark,1980,151325.967
Denmark,1981,150317.948
Denmark,1982,155856.523
Denmark,1983,159902.67
Denmark,1984,166564.436
Denmark,1985,173233.263
Denmark,1986,181728.931
Denmark,1987,182191.006
Denmark,1988,182166.226
Denmark,1989,183341.54
Denmark,1990,186046.275
Denmark,1991,188639.079
Denmark,1992,192330.759
Denmark,1993,192351.315
Denmark,1994,202608.377
Denmark,1995,208742.522
Denmark,1996,214796.263
Denmark,1997,221800.534
Denmark,1998,226720.422
Denmark,1999,233404.19
Denmark,2000,242149.524
Denmark,2001,244142.785
Denmark,2002,245281.334
Denmark,2003,246238.075
Denmark,2004,252808.247
Denmark,2005,258715.469
Denmark,2006,268839.026
Denmark,2007,271283.415
Denmark,2008,269894.398
Denmark,2009,256651.901
Denmark,2010,261453.835
Denmark,2011,264948.892
Denmark,2012,265549.001
Denmark,2013,268027.478
Denmark,2014,272367.899
Denmark,2015,278748.365
Denmark,2016,287796.417
Denmark,2017,295917.273
Denmark,2018,301804.658
Denmark,2019,306312.071
Denmark,2020,300202.347
Denmark,2021,314779.295
Denmark,2022,326800.772
Finland,1970,78339.01
Finland,1971,80185.398
Finland,1972,86388.128
Finland,1973,92421.327
Finland,1974,95412.574
Finland,1975,97134.673
Finland,1976,97469.188
Finland,1977,97702.637
Finland,1978,100555.269
Finland,1979,107716.741
Finland,1980,113521.648
Finland,1981,115015.455
Finland,1982,118590.237
Finland,1983,122286.199
Finland,1984,126245.449
Finland,1985,130725.77
Finland,1986,134328.093
Finland,1987,139130.088
Finland,1988,146388.714
Finland,1989,153835.719
Finland,1990,154866.842
Finland,1991,145750.872
Finland,1992,140948.876
Finland,1993,140015.797
Finland,1994,145564.697
Finland,1995,151702.967
Finland,1996,157266.188
Finland,1997,167227.107
Finland,1998,176352.992
Finland,1999,184076.504
Finland,2000,194703.908
Finland,2001,199785.718
Finland,2002,203196.357
Finland,2003,207267.974
Finland,2004,215542.301
Finland,2005,221534.054
Finland,2006,230456.138
Finland,2007,242668.785
Finland,2008,244571.296
Finland,2009,224823.515
Finland,2010,231986.299
Finland,2011,237896.533
Finland,2012,234571.82
Finland,2013,232456.694
Finland,2014,231608.441
Finland,2015,232867.602
Finland,2016,239414.576
Finland,2017,247057.67
Finland,2018,249873.431
Finland,2019,252933.753
Finland,2020,246977.251
Finland,2021,254501.369
Finland,2022,259804.606
France,1970,1014911.184
France,1971,1068871.128
France,1972,1117091.903
France,1973,1187966.7
France,1974,1239060.186
France,1975,1227166.637
France,1976,1280631.329
France,1977,1324996.393
France,1978,1377711.954
France,1979,1426620.579
France,1980,1449143.284
France,1981,1464634.913
France,1982,1501329.826
France,1983,1519959.301
France,1984,1542967.253
France,1985,1568006.238
France,1986,1604654.877
France,1987,1645764.536
France,1988,1723825.488
France,1989,1798706.072
France,1990,1851299.071
France,1991,1870703.94
France,1992,1900622.907
France,1993,1888674.33
France,1994,1933215.733
France,1995,1973942.697
France,1996,2001834.383
France,1997,2048603.169
France,1998,2122120.56
France,1999,2194726.238
France,2000,2280840.035
France,2001,2326085.547
France,2002,2352498.981
France,2003,2371863.83
France,2004,2438981.716
France,2005,2479547.348
France,2006,2540279.486
France,2007,2601874.563
France,2008,2608507.937
France,2009,2533557.317
France,2010,2582947.437
France,2011,2639583.742
France,2012,2647849.196
France,2013,2663109.457
France,2014,2688573.658
France,2015,2718495.127
France,2016,2748275.273
France,2017,2811249.802
France,2018,2863681.468
France,2019,2916458.311
France,2020,2689424.091
France,2021,2872751.081
France,2022,2946362.27
Germany,1970,1620208.01
Germany,1971,1670964.263
Germany,1972,1742821.429
Germany,1973,1826084.495
Germany,1974,1842337.901
Germany,1975,1826369.642
Germany,1976,1916761.395
Germany,1977,1980919.579
Germany,1978,2040515.403
Germany,1979,2125204.206
Germany,1980,2155144.692
Germany,1981,2166550.592
Germany,1982,2157996.167
Germany,1983,2191928.718
Germany,1984,2253805.722
Germany,1985,2306272.859
Germany,1986,2359025.144
Germany,1987,2392102.253
Germany,1988,2480783.12
Germany,1989,2577448.118
Germany,1990,2712893.173
Germany,1991,2851474.851
Germany,1992,2906310.895
Germany,1993,2877920.603
Germany,1994,2946757.357
Germany,1995,2992259.608
Germany,1996,3016371.921
Germany,1997,3070430.157
Germany,1998,3132266.556
Germany,1999,3191380.606
Germany,2000,3284329.661
Germany,2001,3339554.629
Germany,2002,3332943.185
Germany,2003,3309608.693
Germany,2004,3348499.512
Germany,2005,3373000.723
Germany,2006,3501729.336
Germany,2007,3605956.739
Germany,2008,3640569.565
Germany,2009,3433281.492
Germany,2010,3576788.625
Germany,2011,3717184.471
Germany,2012,3732740.798
Germany,2013,3749074.947
Germany,2014,3831912.387
Germany,2015,3889081.896
Germany,2016,3975808.417
Germany,2017,4082369.271
Germany,2018,4122426.809
Germany,2019,4165984.532
Germany,2020,4011976.886
Germany,2021,4117371.008
Germany,2022,4190874.653
Greece,1970,139571.899
Greece,1971,150515.979
Greece,1972,165808.63
Greece,1973,179226.492
Greece,1974,167687.459
Greece,1975,178363.799
Greece,1976,190585.105
Greece,1977,196190.216
Greece,1978,210407.853
Greece,1979,217313.607
Greece,1980,218785.105
Greece,1981,215385.795
Greece,1982,212946.233
Greece,1983,210649.347
Greece,1984,214884.621
Greece,1985,220277.273
Greece,1986,221417.56
Greece,1987,216416.04
Greece,1988,225695.66
Greece,1989,234272.095
Greece,1990,234272.095
Greece,1991,241534.53
Greece,1992,243225.272
Greece,1993,239333.667
Greece,1994,244120.341
Greece,1995,249246.184
Greece,1996,256379.931
Greece,1997,267876.518
Greece,1998,278310.053
Greece,1999,286861.398
Greece,2000,298105.707
Greece,2001,310422.279
Greece,2002,322599.747
Greece,2003,341292.89
Greece,2004,358565.993
Greece,2005,360714.313
Greece,2006,381103.45
Greece,2007,393579.812
Greece,2008,392260.641
Greece,2009,375390.555
Greece,2010,354824.281
Greece,2011,318812.047
Greece,2012,296218.799
Greece,2013,288765.938
Greece,2014,290139.58
Greece,2015,289570.644
Greece,2016,288159.911
Greece,2017,291307.03
Greece,2018,296167.259
Greece,2019,301748.048
Greece,2020,274578.507
Greece,2021,297737.633
Greece,2022,315345.035
Hungary,1991,165915.717
Hungary,1992,160831.76
Hungary,1993,159905.195
Hungary,1994,164617.848
Hungary,1995,167069.873
Hungary,1996,167207.561
Hungary,1997,172463.099
Hungary,1998,179189.167
Hungary,1999,184692.115
Hungary,2000,192964.834
Hungary,2001,200826.391
Hungary,2002,210348.146
Hungary,2003,218918.255
Hungary,2004,229874.283
Hungary,2005,239745.723
Hungary,2006,249206.249
Hungary,2007,249897.48
Hungary,2008,252406.308
Hungary,2009,235752.875
Hungary,2010,238290.175
Hungary,2011,242738.665
Hungary,2012,239703.883
Hungary,2013,244024.599
Hungary,2014,254352.232
Hungary,2015,263781.873
Hungary,2016,269587.717
Hungary,2017,281104.439
Hungary,2018,296178.238
Hungary,2019,310585.017
Hungary,2020,296498.275
Hungary,2021,317846.152
Hungary,2022,332396.849
Iceland,1970,3460.969
Iceland,1971,3913.0
Iceland,1972,4154.719
Iceland,1973,4437.49
Iceland,1974,4690.706
Iceland,1975,4721.015
Iceland,1976,5002.358
Iceland,1977,5443.68
Iceland,1978,5771.21
Iceland,1979,6051.725
Iceland,1980,6399.573
Iceland,1981,6672.515
Iceland,1982,6816.279
Iceland,1983,6669.65
Iceland,1984,6945.048
Iceland,1985,7173.737
Iceland,1986,7623.569
Iceland,1987,8275.075
Iceland,1988,8267.65
Iceland,1989,8289.017
Iceland,1990,8385.946
Iceland,1991,8367.202
Iceland,1992,8084.901
Iceland,1993,8191.092
Iceland,1994,8486.697
Iceland,1995,8496.591
Iceland,1996,8884.641
Iceland,1997,9397.428
Iceland,1998,10089.342
Iceland,1999,10496.439
Iceland,2000,11019.691
Iceland,2001,11461.966
Iceland,2002,11526.098
Iceland,2003,11773.066
Iceland,2004,12691.648
Iceland,2005,13468.94
Iceland,2006,14319.772
Iceland,2007,15530.489
Iceland,2008,15873.635
Iceland,2009,14657.109
Iceland,2010,14241.907
Iceland,2011,14504.781
Iceland,2012,14659.059
Iceland,2013,15326.407
Iceland,2014,15584.996
Iceland,2015,16276.45
Iceland,2016,17302.466
Iceland,2017,18028.296
Iceland,2018,18909.731
Iceland,2019,19251.082
Iceland,2020,17856.943
Iceland,2021,18630.756
Iceland,2022,19831.428
Ireland,1970,39998.865
Ireland,1971,41386.781
Ireland,1972,44072.703
Ireland,1973,46153.565
Ireland,1974,48119.812
Ireland,1975,50841.78
Ireland,1976,51550.925
Ireland,1977,55783.926
Ireland,1978,59792.965
Ireland,1979,61630.425
Ireland,1980,63528.229
Ireland,1981,65640.679
Ireland,1982,67139.563
Ireland,1983,66975.541
Ireland,1984,69891.905
Ireland,1985,72048.5
Ireland,1986,71739.895
Ireland,1987,75085.191
Ireland,1988,79002.697
Ireland,1989,83595.85
Ireland,1990,90673.516
Ireland,1991,92423.188
Ireland,1992,95513.149
Ireland,1993,98084.944
Ireland,1994,103730.544
Ireland,1995,113724.383
Ireland,1996,122116.814
Ireland,1997,135576.242
Ireland,1998,147461.023
Ireland,1999,162988.501
Ireland,2000,178315.164
Ireland,2001,187776.25
Ireland,2002,198853.857
Ireland,2003,204847.494
Ireland,2004,218753.46
Ireland,2005,231308.929
Ireland,2006,242846.279
Ireland,2007,255741.704
Ireland,2008,244274.065
Ireland,2009,231826.389
Ireland,2010,235727.962
Ireland,2011,237693.527
Ireland,2012,237680.357
Ireland,2013,240355.904
Ireland,2014,261145.133
Ireland,2015,324787.369
Ireland,2016,331304.726
Ireland,2017,361139.855
Ireland,2018,391936.202
Ireland,2019,413261.199
Ireland,2020,438819.492
Ireland,2021,498447.367
Ireland,2022,558109.426
Italy,1970,1033383.143
Italy,1971,1052171.165
Italy,1972,1091001.392
Italy,1973,1168744.649
Italy,1974,1233027.254
Italy,1975,1207254.975
Italy,1976,1293276.542
Italy,1977,1326390.898
Italy,1978,1369367.818
Italy,1979,1450970.629
Italy,1980,1500739.16
Italy,1981,1513408.814
Italy,1982,1519668.056
Italy,1983,1537436.068
Italy,1984,1587031.486
Italy,1985,1631437.988
Italy,1986,1678096.655
Italy,1987,1731660.84
Italy,1988,1804293.228
Italy,1989,1865429.603
Italy,1990,1902472.835
Italy,1991,1931741.382
Italy,1992,1947857.427
Italy,1993,1931245.986
Italy,1994,1972787.544
Italy,1995,2029738.7
Italy,1996,2055451.121
Italy,1997,2093070.239
Italy,1998,2130967.686
Italy,1999,2165611.416
Italy,2000,2247622.149
Italy,2001,2291481.608
Italy,2002,2297300.665
Italy,2003,2300485.342
Italy,2004,2333234.917
Italy,2005,2352317.255
Italy,2006,2394438.781
Italy,2007,2430045.833
Italy,2008,2406668.48
Italy,2009,2279573.829
Italy,2010,2318629.672
Italy,2011,2335030.113
Italy,2012,2265425.066
Italy,2013,2223717.108
Italy,2014,2223615.983
Italy,2015,2240922.483
Italy,2016,2269907.98
Italy,2017,2307766.846
Italy,2018,2329132.404
Italy,2019,2340386.732
Italy,2020,2130240.456
Italy,2021,2279075.381
Italy,2022,2362824.183
Japan,1970,1707356.622
Japan,1971,1787585.174
Japan,1972,1937984.497
Japan,1973,2093655.039
Japan,1974,2068002.744
Japan,1975,2131936.619
Japan,1976,2216680.76
Japan,1977,2314000.537
Japan,1978,2435993.291
Japan,1979,2569584.183
Japan,1980,2641984.561
Japan,1981,2754549.602
Japan,1982,2844891.743
Japan,1983,2948166.962
Japan,1984,3078207.073
Japan,1985,3237036.645
Japan,1986,3343666.174
Japan,1987,3499108.58
Japan,1988,3732206.475
Japan,1989,3916046.957
Japan,1990,4105620.012
Japan,1991,4250275.672
Japan,1992,4288553.062
Japan,1993,4268859.181
Japan,1994,4315107.283
Japan,1995,4428637.739
Japan,1996,4567425.533
Japan,1997,4612242.424
Japan,1998,4553651.702
Japan,1999,4538445.695
Japan,2000,4663917.723
Japan,2001,4681925.269
Japan,2002,4683889.922
Japan,2003,4755793.51
Japan,2004,4859760.659
Japan,2005,4947425.924
Japan,2006,5015321.929
Japan,2007,5089747.773
Japan,2008,5027434.551
Japan,2009,4741210.819
Japan,2010,4935501.747
Japan,2011,4936676.866
Japan,2012,5004543.881
Japan,2013,5104889.999
Japan,2014,5120010.965
Japan,2015,5199915.223
Japan,2016,5239113.574
Japan,2017,5326886.107
Japan,2018,5361158.814
Japan,2019,5339597.885
Japan,2020,5111137.653
Japan,2021,5220643.132
Japan,2022,5274343.965
Korea,1970,84086.41
Korea,1971,92953.754
Korea,1972,99659.773
Korea,1973,114507.408
Korea,1974,125399.164
Korea,1975,135230.375
Korea,1976,153109.788
Korea,1977,171997.385
Korea,1978,190836.234
Korea,1979,207384.076
Korea,1980,203971.182
Korea,1981,218751.293
Korea,1982,236990.947
Korea,1983,268691.27
Korea,1984,297042.606
Korea,1985,320327.372
Korea,1986,356611.69
Korea,1987,401985.864
Korea,1988,450174.786
Korea,1989,482015.169
Korea,1990,529626.471
Korea,1991,586709.909
Korea,1992,623077.96
Korea,1993,665929.986
Korea,1994,727652.814
Korea,1995,797613.47
Korea,1996,860550.783
Korea,1997,913651.52
Korea,1998,866786.239
Korea,1999,966180.118
Korea,2000,1053724.088
Korea,2001,1104854.991
Korea,2002,1190206.615
Korea,2003,1227665.883
Korea,2004,1291472.484
Korea,2005,1347116.128
Korea,2006,1418032.72
Korea,2007,1500272.214
Korea,2008,1545475.189
Korea,2009,1557726.155
Korea,2010,1663726.693
Korea,2011,1725046.132
Korea,2012,1766490.9
Korea,2013,1822395.19
Korea,2014,1880756.554
Korea,2015,1933588.947
Korea,2016,1990569.526
Korea,2017,2053464.273
Korea,2018,2113166.77
Korea,2019,2160585.765
Korea,2020,2145258.238
Korea,2021,2234186.141
Korea,2022,2291393.314
Luxembourg,1970,12319.097
Luxembourg,1971,12647.676
Luxembourg,1972,13482.194
Luxembourg,1973,14602.925
Luxembourg,1974,15218.069
Luxembourg,1975,14218.033
Luxembourg,1976,14578.365
Luxembourg,1977,14807.213
Luxembourg,1978,15410.603
Luxembourg,1979,15772.075
Luxembourg,1980,15904.7
Luxembourg,1981,15817.073
Luxembourg,1982,15996.011
Luxembourg,1983,16474.144
Luxembourg,1984,17493.389
Luxembourg,1985,17981.753
Luxembourg,1986,19777.04
Luxembourg,1987,20558.426
Luxembourg,1988,22298.344
Luxembourg,1989,24483.149
Luxembourg,1990,25785.636
Luxembourg,1991,28014.596
Luxembourg,1992,28524.364
Luxembourg,1993,29722.572
Luxembourg,1994,30858.248
Luxembourg,1995,31300.2
Luxembourg,1996,31737.8
Luxembourg,1997,33457.936
Luxembourg,1998,35691.09
Luxembourg,1999,38608.902
Luxembourg,2000,41287.637
Luxembourg,2001,42556.966
Luxembourg,2002,43929.606
Luxembourg,2003,45080.288
Luxembourg,2004,46988.037
Luxembourg,2005,48154.691
Luxembourg,2006,51052.022
Luxembourg,2007,55186.555
Luxembourg,2008,55020.898
Luxembourg,2009,53238.797
Luxembourg,2010,55240.796
Luxembourg,2011,55817.675
Luxembourg,2012,56738.611
Luxembourg,2013,58538.241
Luxembourg,2014,60073.75
Luxembourg,2015,61437.294
Luxembourg,2016,64495.76
Luxembourg,2017,65345.29
Luxembourg,2018,66142.06
Luxembourg,2019,67676.506
Luxembourg,2020,67136.829
Luxembourg,2021,70562.456
Luxembourg,2022,71655.267
Mexico,1970,517200.913
Mexico,1971,538775.505
Mexico,1972,584505.971
Mexico,1973,633657.54
Mexico,1974,672378.859
Mexico,1975,710106.572
Mexico,1976,740206.39
Mexico,1977,765689.982
Mexico,1978,828857.981
Mexico,1979,904737.974
Mexico,1980,980049.394
Mexico,1981,1066235.251
Mexico,1982,1058696.236
Mexico,1983,1013216.15
Mexico,1984,1049687.61
Mexico,1985,1078787.779
Mexico,1986,1038290.95
Mexico,1987,1057559.003
Mexico,1988,1070730.245
Mexico,1989,1115682.64
Mexico,1990,1172228.855
Mexico,1991,1221723.296
Mexico,1992,1266055.466
Mexico,1993,1311049.899
Mexico,1994,1375829.933
Mexico,1995,1289273.296
Mexico,1996,1376599.111
Mexico,1997,1470852.819
Mexico,1998,1546806.558
Mexico,1999,1589398.716
Mexico,2000,1667954.011
Mexico,2001,1661208.97
Mexico,2002,1660547.07
Mexico,2003,1684564.935
Mexico,2004,1750609.833
Mexico,2005,1791010.531
Mexico,2006,1871517.849
Mexico,2007,1914402.665
Mexico,2008,1936295.479
Mexico,2009,1833947.854
Mexico,2010,1927811.472
Mexico,2011,1998427.359
Mexico,2012,2071216.532
Mexico,2013,2099262.708
Mexico,2014,2159086.935
Mexico,2015,2230188.94
Mexico,2016,2288854.783
Mexico,2017,2337221.24
Mexico,2018,2388523.123
Mexico,2019,2383768.821
Mexico,2020,2193355.457
Mexico,2021,2296894.234
Mexico,2022,2367233.85
Netherlands,1970,305347.993
Netherlands,1971,318571.938
Netherlands,1972,326557.036
Netherlands,1973,345445.97
Netherlands,1974,360147.886
Netherlands,1975,360590.939
Netherlands,1976,377854.782
Netherlands,1977,385114.423
Netherlands,1978,394090.472
Netherlands,1979,402058.66
Netherlands,1980,415129.604
Netherlands,1981,411876.6
Netherlands,1982,406766.213
Netherlands,1983,415186.103
Netherlands,1984,427897.769
Netherlands,1985,438938.301
Netherlands,1986,451171.405
Netherlands,1987,459884.646
Netherlands,1988,475710.284
Netherlands,1989,496737.882
Netherlands,1990,517517.06
Netherlands,1991,530139.499
Netherlands,1992,539184.086
Netherlands,1993,545964.954
Netherlands,1994,562131.436
Netherlands,1995,579647.33
Netherlands,1996,599927.696
Netherlands,1997,625898.886
Netherlands,1998,655090.292
Netherlands,1999,688067.852
Netherlands,2000,716936.719
Netherlands,2001,733619.515
Netherlands,2002,735213.476
Netherlands,2003,736357.807
Netherlands,2004,750974.11
Netherlands,2005,766375.658
Netherlands,2006,792899.835
Netherlands,2007,822814.697
Netherlands,2008,840672.449
Netherlands,2009,809845.965
Netherlands,2010,820720.086
Netherlands,2011,833451.008
Netherlands,2012,824863.512
Netherlands,2013,823789.744
Netherlands,2014,835515.53
Netherlands,2015,851884.697
Netherlands,2016,870555.57
Netherlands,2017,895896.595
Netherlands,2018,917047.953
Netherlands,2019,934981.636
Netherlands,2020,898647.464
Netherlands,2021,942350.661
Netherlands,2022,984551.385
New Zealand,1970,57641.184
New Zealand,1971,59823.166
New Zealand,1972,62885.579
New Zealand,1973,67790.829
New Zealand,1974,71853.832
New Zealand,1975,70609.551
New Zealand,1976,71265.382
New Zealand,1977,68460.135
New Zealand,1978,68677.886
New Zealand,1979,70183.171
New Zealand,1980,71084.522
New Zealand,1981,74393.266
New Zealand,1982,75085.212
New Zealand,1983,77707.322
New Zealand,1984,81431.841
New Zealand,1985,82746.69
New Zealand,1986,79761.156
New Zealand,1987,81208.78
New Zealand,1988,82910.571
New Zealand,1989,83316.483
New Zealand,1990,83874.895
New Zealand,1991,82533.491
New Zealand,1992,83617.691
New Zealand,1993,89021.241
New Zealand,1994,93897.485
New Zealand,1995,97946.733
New Zealand,1996,101254.719
New Zealand,1997,104401.1
New Zealand,1998,105513.372
New Zealand,1999,111077.768
New Zealand,2000,113672.565
New Zealand,2001,118154.279
New Zealand,2002,124095.755
New Zealand,2003,129738.299
New Zealand,2004,133905.907
New Zealand,2005,138185.044
New Zealand,2006,141481.65
New Zealand,2007,146868.508
New Zealand,2008,144533.191
New Zealand,2009,147422.368
New Zealand,2010,148797.913
New Zealand,2011,152687.073
New Zealand,2012,156644.517
New Zealand,2013,159830.35
New Zealand,2014,165699.749
New Zealand,2015,172758.809
New Zealand,2016,179433.202
New Zealand,2017,187270.7
New Zealand,2018,194589.24
New Zealand,2019,199495.074
New Zealand,2020,199521.629
New Zealand,2021,208445.604
New Zealand,2022,212941.734
Norway,1970,84130.042
Norway,1971,88903.253
Norway,1972,93642.335
Norway,1973,97887.08
Norway,1974,101726.389
Norway,1975,106763.984
Norway,1976,112983.557
Norway,1977,117684.48
Norway,1978,122238.11
Norway,1979,127582.979
Norway,1980,133406.176
Norway,1981,135538.466
Norway,1982,135857.418
Norway,1983,141255.043
Norway,1984,149804.337
Norway,1985,158123.579
Norway,1986,164515.111
Norway,1987,167399.879
Norway,1988,166972.797
Norway,1989,168706.396
Norway,1990,171966.295
Norway,1991,177270.49
Norway,1992,183606.95
Norway,1993,188830.904
Norway,1994,198376.823
Norway,1995,206620.656
Norway,1996,217009.463
Norway,1997,228477.454
Norway,1998,234574.801
Norway,1999,239435.302
Norway,2000,247382.029
Norway,2001,252495.739
Norway,2002,255974.011
Norway,2003,258392.734
Norway,2004,268766.238
Norway,2005,275982.839
Norway,2006,282776.183
Norway,2007,291016.29
Norway,2008,292418.754
Norway,2009,286744.764
Norway,2010,289001.594
Norway,2011,292196.958
Norway,2012,300138.752
Norway,2013,303188.734
Norway,2014,309398.44
Norway,2015,315145.02
Norway,2016,318815.59
Norway,2017,326670.398
Norway,2018,329378.271
Norway,2019,333079.65
Norway,2020,328822.32
Norway,2021,341641.126
Norway,2022,352848.86
Poland,1990,416587.516
Poland,1991,387361.491
Poland,1992,397103.55
Poland,1993,411948.513
Poland,1994,433752.132
Poland,1995,463905.958
Poland,1996,492276.326
Poland,1997,524023.241
Poland,1998,548340.618
Poland,1999,573865.281
Poland,2000,600039.192
